-7663.641333977854,-6585.13180710357
-7668.0,-6519.0
-7680.117283615316,-6368.243215714385
-7681.0,-6301.0
-7678.314724840872,-6190.136889162646
-7671.0,-6032.0
-7662.543141658918,-5899.558894268095
-7657.0,-5841.0
-7653.66008782371,-5806.694486455791
-7639.892934670631,-5673.662665859515
-7635.0,-5634.0
-7618.290351158649,-5524.146345639683
-7614.0,-5500.0
-7590.5942753215595,-5379.3768085356505
-7563.0,-5247.0
-7544.432802650513,-5163.424962044526
-7525.0,-5093.0
-7523.940890688721,-5089.16397777568
-7503.0,-5014.0
-7488.990796115912,-4966.941912897541
-7482.0,-4945.0
-7438.576658068372,-4821.950171700513
-7435.0,-4812.0
-7421.675397973739,-4776.040684798432
-7409.0,-4758.0
-7313.157639366853,-4667.72724051539
-7299.0,-4657.0
-7247.095222928243,-4634.066143138038
-7217.0,-4628.0
-7195.961190305932,-4623.2738561547885
-7157.0,-4615.0
-7071.821836800276,-4602.361227576573
-7061.0,-4601.0
-6995.0,-4594.0
-6945.834796183996,-4590.045689751305
-6857.0,-4583.0
-6850.869249759847,-4582.476492206417
-6723.0,-4571.0
-6643.710956826836,-4562.356038472622
-6579.0,-4554.0
-6539.0,-4549.0
-6460.502809985045,-4536.510763094843
-6384.0,-4521.0
-6225.429569888794,-4486.030836125886
-6190.0,-4478.0
-6133.209571844178,-4464.812217991418
-6026.43473273837,-4437.243234563145
-5985.0,-4427.0
-5842.0,-4392.0
-5802.706416286601,-4382.369063635432
-5744.0094704619905,-4367.783147620322
-5698.0,-4356.0
-5562.0,-4321.0
-5554.351125233007,-4319.019389253281
-5393.065084226982,-4277.276192584171
-5388.0,-4276.0
-5342.0,-4265.0
-5312.1831000116545,-4258.729728423558
-5112.442400183647,-4222.378391254406
-5078.0,-4217.0
-4941.0,-4203.0
-4869.881055136137,-4197.348078110889
-4760.0,-4186.0
-4643.756759735391,-4165.494156881609
-4612.0,-4158.0
-4496.86586604086,-4120.746353069355
-4439.0,-4095.0
-4344.122418970538,-4048.403630752263
-4253.0,-4002.0
-4183.115808784273,-3966.4244956897483
-4108.0,-3930.0
-4016.75638389602,-3888.555791891607
-3933.0,-3855.0
-3680.0,-3777.0
-3660.3085375170517,-3771.938910441288
-3525.391396703429,-3746.1027273864497
-3518.0,-3745.0
-3301.0,-3716.0
-3276.5915567055904,-3713.0673866133648
-3167.4279549847743,-3701.2237344442897
-3062.0,-3686.0
-2944.896504670683,-3665.034908142744
-2893.0,-3654.0
-2794.7581167751705,-3627.665947659026
-2627.879197321778,-3549.694174200635
-2585.0,-3523.0
-2521.0839032442614,-3477.2221474389335
-2428.0,-3392.0
-2413.486581995235,-3376.0750124866445
-2353.125990866775,-3294.2031930990383
-2346.0,-3282.0
-2310.0,-3210.0
-2288.02448912459,-3151.045364011351
-2270.743501642969,-3069.8837937054527
-2270.0,-3064.0
-2262.2248953471335,-2944.3463460939142
-2262.0,-2939.0
-2270.333621622074,-2811.82056145465
-2281.0,-2775.0
-2324.0,-2642.0
-2340.5673778050323,-2602.48449759805
-2347.0,-2591.0
-2369.8193432724693,-2550.501094053683
-2415.124010817952,-2471.9754088015798
-2428.0,-2451.0
-2453.3666977008243,-2412.4269712019372
-2502.0,-2350.0
-2575.931374510307,-2261.6965522147716
-2590.0,-2245.0
-2626.2265908513064,-2201.258312345335
-2637.0,-2186.0
-2650.822165851441,-2166.3263177464246
