1355.838764174996,-282.76656927361444
1328.0,-326.0
1267.6556393376252,-420.0131557596052
1219.4081091854362,-497.29966683581375
1183.0,-555.0
1109.0,-671.0
1093.062871618157,-695.9087261740126
1019.1990669255235,-811.5353750429251
1017.0,-815.0
915.1392795917438,-976.3186477526693
851.0,-1078.0
778.2734803684491,-1192.637453137228
702.0,-1312.0
629.8086881354391,-1425.649627015816
589.0,-1490.0
514.0,-1608.0
477.901320224114,-1664.040412137851
476.0,-1667.0
345.7231613358371,-1873.126378562276
325.0,-1906.0
221.0,-2070.0
213.35864942950752,-2081.9605413331556
125.0,-2220.0
60.403658018364005,-2322.444104946721
11.0,-2401.0
-27.0,-2461.0
-52.639753276644235,-2500.8164969049812
-117.0,-2599.0
-202.05827552372307,-2729.600650879048
-264.0,-2824.0
-341.99518390893735,-2941.003876671187
-344.0,-2944.0
-422.4297532994351,-3061.0448843418026
-484.0,-3154.0
-501.5948298415728,-3180.92499129467
-533.0,-3229.0
-602.6152183630549,-3333.2595524675803
-634.0,-3380.0
-677.3408845429392,-3444.8084508293987
-805.0,-3636.0
-868.3323561697016,-3730.2782326264773
-967.0,-3877.0
-984.4354460226707,-3902.960380173462
-1028.0,-3968.0
-1040.922664125615,-3987.191215388231
-1160.0,-4164.0
-1248.7645690256038,-4296.668085396512
-1251.0,-4300.0
-1350.7568083864003,-4448.124428638813
-1465.0,-4618.0
-1514.9746038548806,-4692.865778430401
-1613.9664241676471,-4842.380871359167
-1714.331816966594,-4996.404373333142
-1716.0,-4999.0
-1801.2192864905817,-5135.709000280953
-1857.0,-5230.0
-1958.0,-5404.0
-1964.926843455822,-5416.217051179301
-2030.0,-5532.0
-2090.632841746291,-5637.204648770422
-2103.0,-5659.0
-2178.728546103233,-5795.8533770564745
-2244.0,-5916.0
-2287.2544449259426,-5996.307586896946
-2397.0,-6187.0
-2423.764150902611,-6230.9247795503625
-2544.0,-6425.0
-2671.2773419318246,-6604.917206871078
-2696.0,-6634.0
-2765.297707282554,-6717.3777212204495
-2815.0,-6770.0
